Nama Tempat,Kategori,Area,Rating,Harga,Latitude,Longitude,Google Maps Link
Klopt Eatery,Cafe,Bandung Timur,4.7,Rp 25–50,-6.9053718,107.6929872,https://www.google.com/maps/place/Klopt+Eatery/data=!4m7!3m6!1s0x2e68dd6ca3892037:0xdb7bad24ecd3d4d9!8m2!3d-6.9053718!4d107.6929872!16s%2Fg%2F11vbcg44hb!19sChIJNyCJo2zdaC4R2dTT7CSte9s?authuser=0&hl=id&rclk=1
Dewaji Coffee Lab,Cafe,Bandung Timur,4.7,Rp 25–50,-6.9148514,107.6992103,https://www.google.com/maps/place/Dewaji+Coffee+Lab/data=!4m7!3m6!1s0x2e68dd30a8af94cd:0x12d4cc1865b4a9c7!8m2!3d-6.9148514!4d107.6992103!16s%2Fg%2F11c5bmbfdw!19sChIJzZSvqDDdaC4Rx6m0ZRjM1BI?authuser=0&hl=id&rclk=1
Roempi Coffee Ujung Berung,Cafe,Bandung Timur,4.6,Rp 25–50,-6.9163509,107.6992948,https://www.google.com/maps/place/Roempi+Coffee+Ujung+Berung/data=!4m7!3m6!1s0x2e68dda80cc25809:0xa18a229dec64d5b5!8m2!3d-6.9163509!4d107.6992948!16s%2Fg%2F11t60yskyy!19sChIJCVjCDKjdaC4RtdVk7J0iiqE?authuser=0&hl=id&rclk=1
Kopi Pulker,Cafe,Bandung Timur,5.0,Rp 1–25.000,-6.912135,107.7055885,https://www.google.com/maps/place/Kopi+Pulker/data=!4m7!3m6!1s0x2e68ddcaaf91e9eb:0x68df122ca6a3c37d!8m2!3d-6.912135!4d107.7055885!16s%2Fg%2F11wppkg3fk!19sChIJ6-mRr8rdaC4RfcOjpiwS32g?authuser=0&hl=id&rclk=1
Koffie Kawan,Cafe,Bandung Timur,4.7,Rp 25–50,-6.908617,107.7041928,https://www.google.com/maps/place/Koffie+Kawan/data=!4m7!3m6!1s0x2e68dd3cacf09dc7:0x8f88fc050a46ca3d!8m2!3d-6.908617!4d107.7041928!16s%2Fg%2F11fx8zrw17!19sChIJx53wrDzdaC4RPcpGCgX8iI8?authuser=0&hl=id&rclk=1
Accardi Eatery,Cafe,Soekarno Hatta,4.7,Rp 50–100,-6.9481635,107.6046171,https://www.google.com/maps/place/Accardi+Eatery/data=!4m7!3m6!1s0x2e68e9ff66799559:0xbd2c911426be5ea6!8m2!3d-6.9481635!4d107.6046171!16s%2Fg%2F11tgbx33wd!19sChIJWZV5Zv_paC4Rpl6-JhSRLL0?authuser=0&hl=id&rclk=1
Rock Star Music Cafe,Cafe,Soekarno Hatta,4.4,Rp 50–75,-6.9429099,107.6595515,https://www.google.com/maps/place/Rock+Star+Music+Cafe/data=!4m7!3m6!1s0x2e68e81998e882f1:0xd324e47e18708e9d!8m2!3d-6.9429099!4d107.6595515!16s%2Fg%2F11b6324x1m!19sChIJ8YLomBnoaC4RnY5wGH7kJNM?authuser=0&hl=id&rclk=1
Bagi Kopi Metro,Cafe,Soekarno Hatta,4.9,Rp 25–50,-6.9387829,107.6645165,https://www.google.com/maps/place/Bagi+Kopi+Metro/data=!4m7!3m6!1s0x2e68e940bf39371b:0x5df826bf413e9cd3!8m2!3d-6.9387829!4d107.6645165!16s%2Fg%2F11x027d4hg!19sChIJGzc5v0DpaC4R05w-Qb8m-F0?authuser=0&hl=id&rclk=1
Diameter Coffee,Cafe,Soekarno Hatta,4.9,Rp 25–50,-6.948021,107.6065051,https://www.google.com/maps/place/Diameter+Coffee/data=!4m7!3m6!1s0x2e68e952eed7ef19:0xd114d987fcff25d5!8m2!3d-6.948021!4d107.6065051!16s%2Fg%2F11nntpvvn3!19sChIJGe_X7lLpaC4R1SX__IfZFNE?authuser=0&hl=id&rclk=1
TOMORO COFFEE - Soekarno Hatta,Cafe,Soekarno Hatta,4.5,Rp 25–50,-6.9484708,107.6067487,https://www.google.com/maps/place/TOMORO+COFFEE+-+Soekarno+Hatta/data=!4m7!3m6!1s0x2e68e9fcaf0e1dc1:0xe2cc999485930e9b!8m2!3d-6.9484708!4d107.6067487!16s%2Fg%2F11v0rkgqlr!19sChIJwR0Or_zpaC4Rmw6ThZSZzOI?authuser=0&hl=id&rclk=1
Nameless Serve,Cafe,Soekarno Hatta,4.8,Rp 1–25.000,-6.9473523,107.6810306,https://www.google.com/maps/place/Nameless+Serve/data=!4m7!3m6!1s0x2e68c38171feb3ff:0xd700fc4c212a3b7b!8m2!3d-6.9473523!4d107.6810306!16s%2Fg%2F11llygs6cf!19sChIJ_7P-cYHDaC4RezsqIUz8ANc?authuser=0&hl=id&rclk=1
Morning Glory Coffee Roaster,Cafe,Soekarno Hatta,4.5,Rp 25–50,-6.9453194,107.6384107,https://www.google.com/maps/place/Morning+Glory+Coffee+Roaster/data=!4m7!3m6!1s0x2e68e9d3beca454f:0x72e71fbcd3a478c!8m2!3d-6.9453194!4d107.6384107!16s%2Fg%2F11fl9g9jgb!19sChIJT0XKvtPpaC4RjEc6zftxLgc?authuser=0&hl=id&rclk=1
Venus Cafe,Cafe,Soekarno Hatta,4.0,Rp 25–50,-6.9399459,107.6672808,https://www.google.com/maps/place/Venus+Cafe/data=!4m7!3m6!1s0x2e68e81dbeff18d7:0x690a0e394e4ef024!8m2!3d-6.9399459!4d107.6672808!16s%2Fg%2F12m99ympd!19sChIJ1xj_vh3oaC4RJPBOTjkOCmk?authuser=0&hl=id&rclk=1
Two One Kopi,Cafe,Soekarno Hatta,4.8,Rp 50.000 (Estimasi),-6.9328527,107.5763792,https://www.google.com/maps/place/Two+One+Kopi/data=!4m7!3m6!1s0x2e68e9ee39f3f5dd:0x1679a600d1217e87!8m2!3d-6.9328527!4d107.5763792!16s%2Fg%2F11q_nztbtw!19sChIJ3fXzOe7paC4Rh34h0QCmeRY?authuser=0&hl=id&rclk=1
Kopi Gampoeng,Cafe,Soekarno Hatta,4.4,Rp 50.000 (Estimasi),-6.9351946,107.7142047,https://www.google.com/maps/place/Kopi+Gampoeng/data=!4m7!3m6!1s0x2e68c31975e79cb3:0xc9eb2b599dea432!8m2!3d-6.9351946!4d107.7142047!16s%2Fg%2F11mtt5w95g!19sChIJs5zndRnDaC4RMqTembWyngw?authuser=0&hl=id&rclk=1
